65Z0182010040016	西域石窟壁画中的图案艺术	周菁葆
52C0092010030004	论“原生态”的原生形貌	彭兆荣
51Z0662010060028	论近代旁观者眼光与透视法	肖伟胜
51Z0662010050034	文化形态与诗性话语：中国传统美学的两大知识特征	马睿
51Z0662010050014	东方不败的多重意义——香港新武侠电影《笑傲江湖》系列美学探析	李跃峰
51Z0662010040042	动态摄影与未来主义	钟林卡
51Z0662010040041	论大足石刻艺术动与静的对比	龙红
51Z0662010030043	浅谈音乐治疗及其应用	陈蕾
51Z0662010030034	传播学视野下广播电视编导专业定位再思考	杨尚鸿
51Z0662010020037	情感表达与戏剧呈现：《潜伏》情爱戏的解读	刘广宇;胡焕阳
51Z0662010020036	论中国工笔画的当代性	黄静
51Z0662010010041	龚耀年儿童民族音乐作品的创作特色	陈蕾
51Z0662010010039	论书法艺术表现力的内涵	吴永强
51Z0112010010010	晚清上海弹词女艺人的职业生涯与历史命运	宋立中
51J0292010040033	新课程标准下的高师音乐技术理论课实施研究	王文韬
51J0292010040032	奥尔夫教学法在音乐教育专业视唱教学中的运用	谢云秀
51J0292010040031	艺术治疗中形象思维的运用对地震中受创儿童应激障碍的康复作用	马毅;张敏
